State,Total Reviews,Average Rating,Abbr,Capital,Zip
Alabama,1526,3.72,AL,Montgomery,36101
Alaska,138,3.31,AK,Juneau,99801
Arizona,15980,4.09,AZ,Phoenix,85001
Arkansas,4075,4.04,AR,Little Rock,72201
California,19159,3.71,CA,Sacramento,94203
Colorado,22811,4.02,CO,Denver,80201
Connecticut,4851,3.83,CT,Hartford,06101
Delaware,1742,3.39,DE,Dover,19901
Florida,3804,3.91,FL,Tallahassee,32301
Georgia,17217,3.87,GA,Atlanta,30301
Hawaii,31297,4.12,HI,Honolulu,96801
Idaho,8218,3.95,ID,Boise,83701
Illinois,1415,4.0,IL,Springfield,62701
Indiana,7632,4.09,IN,Indianapolis,46201
Iowa,3988,3.99,IA,Des Moines,50301
Kansas,1151,3.81,KS,Topeka,66601
Kentucky,2336,4.04,KY,Frankfort,40601
Louisiana,358,4.32,LA,Baton Rouge,70801
Maine,1268,3.82,ME,Augusta,04330
Maryland,4811,3.67,MD,Annapolis,21401
Massachusetts,17217,3.98,MA,Boston,02108
Michigan,1632,3.56,MI,Lansing,48901
Minnesota,4616,3.82,MN,St. Paul,55101
Mississippi,770,3.2,MS,Jackson,39201
Missouri,574,3.21,MO,Jefferson City,65101
Montana,1279,3.57,MT,Helena,59601
Nebraska,1597,3.77,NE,Lincoln,68501
Nevada,3896,3.48,NV,Carson City,89701
New Hampshire,4740,3.74,NH,Concord,03301
New Jersey,788,3.4,NJ,Trenton,08601
New Mexico,5785,3.96,NM,Santa Fe,87501
New York,4141,3.68,NY,Albany,12201
North Carolina,8591,3.96,NC,Raleigh,27601
North Dakota,799,3.53,ND,Bismarck,58501
Ohio,7092,3.88,OH,Columbus,43201
Oklahoma,6105,4.07,OK,Oklahoma City,73101
Oregon,4017,3.66,OR,Salem,97301
Pennsylvania,2056,3.59,PA,Harrisburg,17101
Rhode Island,7732,3.94,RI,Providence,02901
South Carolina,4098,3.99,SC,Columbia,29201
South Dakota,74,2.88,SD,Pierre,57501
Tennessee,28945,4.14,TN,Nashville,37201
Texas,1390,3.81,TX,Austin,73301
Utah,17140,4.1,UT,Salt Lake City,84101
Vermont,281,3.43,VT,Montpelier,05601
Virginia,7110,4.07,VA,Richmond,23218
Washington,6670,3.83,WA,Olympia,98501
West Virginia,1681,3.69,WV,Charleston,25301
Wisconsin,8625,3.87,WI,Madison,53701
Wyoming,2473,3.55,WY,Cheyenne,82001
